Holding Name,% Portfolio,Sector,Market Value (INR),Share Change %,1Yr Return (%)
Hindustan Petroleum Corp Ltd,0.70,Energy,2,192,419,680,0.00,16.78
Tube Investments of India Ltd,0.68,Industrials,2,113,519,430,43.36% Increase,-26.14
Jubilant Foodworks Ltd,0.67,Consumer Cyclical,2,096,834,870,17.40% Decrease,-4.99
Kaynes Technology India Ltd,0.63,Technology,1,964,602,580,21.39% Increase,22.42
Balkrishna Industries Ltd,0.57,Consumer Cyclical,1,773,409,970,0.33% Decrease,-26.10
J.B. Chemicals & Pharmaceuticals Ltd,0.54,Healthcare,1,683,840,790,8.72% Increase,-7.27
Cholamandalam Financial Holdings Ltd,0.54,Financial Services,1,678,664,130,0.79% Increase,-2.63
3M India Ltd,0.52,Industrials,1,618,149,980,0.00,-13.34
ZF Commercial Vehicle Control Systems India Ltd,0.51,Consumer Cyclical,1,603,433,350,0.00,-14.12
Fine Organic Industries Ltd,0.44,Basic Materials,1,374,480,020,0.00,-10.05
SRF Ltd,0.44,Industrials,1,361,991,700,0.00,30.07
Jyoti CNC Automation Ltd,0.44,Industrials,1,361,984,300,0.39% Decrease,-16.96
Cohance Lifesciences Ltd,0.41,Healthcare,1,290,664,730,100.00% Increase,-26.18
Bharat Heavy Electricals Ltd,0.40,Industrials,1,230,645,700,16.37% Increase,-12.84
BSE Ltd,0.39,Financial Services,1,229,757,070,42.15% Decrease,65.71
Oberoi Realty Ltd,0.37,Real Estate,1,163,087,140,33.30% Decrease,-16.80
Sona BLW Precision Forgings Ltd,0.37,Consumer Cyclical,1,157,821,240,14.78% Decrease,-34.00
Samvardhana Motherson International Ltd,0.37,Consumer Cyclical,1,153,607,040,100.00% Increase,-26.23
Biocon Ltd,0.35,Healthcare,1,082,830,840,0.00,1.11
Endurance Technologies Ltd,0.34,Consumer Cyclical,1,056,572,680,0.00,22.11
L&T Technology Services Ltd,0.32,Technology,984,184,750,0.00,-18.83
Honeywell Automation India Ltd,0.31,Industrials,950,273,070,2.72% Decrease,-27.86
Linde India Ltd,0.28,Basic Materials,873,526,860,0.00,-23.99
Glenmark Pharmaceuticals Ltd,0.28,Healthcare,873,190,810,1,191.24% Increase,6.86
Astral Ltd,0.28,Industrials,866,818,200,0.00,-24.90
FSN E-Commerce Ventures Ltd,0.22,Consumer Cyclical,678,437,830,100.00% Increase,36.12
Ajanta Pharma Ltd,0.21,Healthcare,649,032,050,0.00,-26.95
Anthem Biosciences Ltd,0.16,Healthcare,495,647,010,0.00,
Hexaware Technologies Ltd,0.16,Technology,492,509,070,9.81% Decrease,
KPIT Technologies Ltd,0.15,Technology,464,074,630,16.97% Decrease,-34.96
Container Corporation of India Ltd,0.14,Industrials,426,400,140,15.96% Decrease,-24.41
Godrej Properties Ltd,0.13,Real Estate,405,551,140,10.71% Decrease,-30.43
REC Ltd,0.13,Financial Services,395,074,100,0.00,-27.47
Jindal Stainless Ltd,0.12,Basic Materials,387,906,740,0.00,2.93
Oil India Ltd,0.12,Energy,364,024,000,0.00,-26.78
Colgate-Palmolive (India) Ltd,0.09,Consumer Defensive,294,801,360,66.05% Decrease,-38.43
Granules India Ltd,0.08,Healthcare,262,685,630,0.00,-6.30
HDB Financial Services Ltd,0.06,Financial Services,190,111,010,0.00,
Aarti Industries Ltd,0.06,Basic Materials,178,864,420,0.00,-27.74
Grindwell Norton Ltd,0.00,Industrials,0,100.00% Decrease,-30.12
Tata Communications Ltd,0.00,Communication Services,0,100.00% Decrease,-7.15
Timken India Ltd,0.00,Industrials,0,100.00% Decrease,-20.39
