Company Name,% Portfolio Weight,First Bought,Market Value,Currency,Share Change %,1-Year Return,Forward P/E,Equity Star Rating,Economic Moat,ESG Risk Rating,Sector
Bharat Heavy Electricals Ltd,0.42,Nov 30, 2023,46,763,000,INR,0.12% Increase,-13.44,,,,"Industrials"
Bajaj Finserv Ltd,0.42,Nov 30, 2023,46,691,000,INR,7.61% Increase,8.18,,,,"Financial Services"
APL Apollo Tubes Ltd,0.42,Nov 30, 2023,46,670,000,INR,0.21% Increase,10.73,,,,"Basic Materials"
Alkem Laboratories Ltd,0.42,Nov 30, 2023,46,617,000,INR,4.82% Increase,-11.41,,,,"Healthcare"
Sundaram Finance Ltd,0.42,Nov 30, 2023,46,347,000,INR,0.13% Increase,-12.64,,,,"Financial Services"
Aurobindo Pharma Ltd,0.42,Nov 30, 2023,46,260,000,INR,0.13% Increase,-24.20,,Momentum,,,"Healthcare"
Mphasis Ltd,0.42,Nov 30, 2023,46,130,000,INR,0.19% Increase,-5.28,,,,"Technology"
Godrej Properties Ltd,0.41,Nov 30, 2023,45,139,000,INR,0.08% Increase,-33.45,,,,"Real Estate"
MRF Ltd,0.41,Nov 30, 2023,45,058,000,INR,0.00%,19.53,,,,"Consumer Cyclical"
Hindalco Industries Ltd,0.41,Nov 30, 2023,44,992,000,INR,2.44% Increase,2.97,,,,"Basic Materials"
Glenmark Pharmaceuticals Ltd,0.41,Apr 30, 2025,44,875,000,INR,0.14% Increase,4.41,,,,"Healthcare"
Colgate-Palmolive (India) Ltd,0.41,Nov 30, 2023,44,666,000,INR,0.06% Increase,-35.97,41.84,,,,"Consumer Defensive"
Phoenix Mills Ltd,0.40,Nov 30, 2023,44,288,000,INR,0.35% Increase,0.86,,,,"Real Estate"
Dabur India Ltd,0.40,Nov 30, 2023,44,209,000,INR,284.11% Increase,-12.73,,,,"Consumer Defensive"
JSW Steel Ltd,0.40,Nov 30, 2023,43,642,000,INR,1.07% Increase,13.62,,,,"Basic Materials"
PI Industries Ltd,0.39,Nov 30, 2023,43,434,000,INR,0.14% Increase,-21.77,,,,"Basic Materials"
Asian Paints Ltd,0.39,Nov 30, 2023,43,327,000,INR,2.38% Increase,-22.97,,,,"Basic Materials"
Grasim Industries Ltd,0.39,Nov 30, 2023,42,944,000,INR,2.45% Increase,2.16,,,,"Basic Materials"
Trent Ltd,0.38,Nov 30, 2023,42,327,000,INR,2.27% Increase,-43.55,,,,"Consumer Cyclical"
Adani Ports & Special Economic Zone Ltd,0.38,Nov 30, 2023,42,230,000,INR,2.42% Increase,1.77,,,,"Industrials"
Mankind Pharma Ltd,0.38,Nov 30, 2023,42,028,000,INR,0.18% Increase,-11.68,,,,"Healthcare"
NHPC Ltd,0.38,Nov 30, 2023,41,677,000,INR,0.15% Increase,-4.17,,,,"Utilities"
Supreme Industries Ltd,0.38,Nov 30, 2023,41,571,000,INR,0.07% Decrease,-20.48,53.76,,,,"Industrials"
Union Bank of India,0.37,Nov 30, 2023,40,844,000,INR,0.15% Increase,24.29,,,,"Financial Services"
Coromandel International Ltd,0.37,Nov 30, 2023,40,509,000,INR,0.78% Decrease,35.04,,,,"Basic Materials"
Indian Bank,0.37,Nov 30, 2023,40,485,000,INR,0.09% Increase,49.59,,,,"Financial Services"
NMDC Ltd,0.37,Nov 30, 2023,40,272,000,INR,0.09% Increase,0.54,,,,"Basic Materials"
JK Cement Ltd,0.37,Nov 30, 2023,40,238,000,INR,0.17% Increase,56.97,45.87,,,,"Basic Materials"
SBI Cards and Payment Services Ltd Ordinary Shares,0.36,Nov 30, 2023,40,113,000,INR,0.22% Increase,24.58,,,,"Financial Services"
Eicher Motors Ltd,0.36,Nov 30, 2023,39,301,000,INR,2.63% Increase,45.55,35.34,,,,"Consumer Cyclical"
Bajaj Auto Ltd,0.36,Nov 30, 2023,39,218,000,INR,2.52% Increase,-21.70,25.64,,,,"Consumer Cyclical"
Jio Financial Services Ltd,0.36,Mar 31, 2024,39,175,000,INR,2.42% Increase,-9.96,,,,"Financial Services"
Page Industries Ltd,0.36,Nov 30, 2023,39,139,000,INR,0.21% Increase,-9.64,,,,"Consumer Cyclical"
Prestige Estates Projects Ltd,0.35,Nov 30, 2023,38,876,000,INR,0.18% Increase,-13.54,,,,"Real Estate"
KEI Industries Ltd,0.35,Mar 31, 2024,38,218,000,INR,0.10% Increase,-4.60,,,,"Industrials"
Oil & Natural Gas Corp Ltd,0.34,Nov 30, 2023,37,930,000,INR,2.41% Increase,-10.24,,Momentum,,,"Energy"
Blue Star Ltd,0.34,Apr 30, 2025,37,246,000,INR,0.10% Increase,-6.59,,,,"Industrials"
Jubilant Foodworks Ltd,0.33,Nov 30, 2023,36,893,000,INR,3.05% Increase,-5.42,,,,"Consumer Cyclical"
